,ObjID,mjd,ra,dec,z,zErr,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,modelFluxIvar_u,modelFluxIvar_g,modelFluxIvar_r,modelFluxIvar_i,modelFluxIvar_z
1,1237645879551066848,51075,348.869593591372,1.2649261783183001,0.721833,0.045267,0.6236383000000001,-0.09701204,1.068921,3.4975059999999996,4.803129,3.373844,21.04749,8.241508,2.471778,0.15758989999999998
2,1237645879562863200,51075,15.929377756442099,1.27228338467095,0.230834,0.093904,0.1630191,1.434061,2.372703,2.655878,3.678674,9.908717999999999,49.44303,20.08522,7.145153,0.3876005
3,1237645879577215228,51075,48.618084735826905,1.27157783962485,0.49105600000000005,0.140122,1.601057,1.3061690000000001,2.328029,2.7016,2.124427,11.53536,60.06621,26.64635,8.754907000000001,0.5416337
4,1237645879577543153,51075,49.410697319349396,1.2705856242242,0.333025,0.092435,0.6914734,1.395094,2.743728,3.3201970000000003,6.442038,4.14619,25.98749,9.497761,3.06175,0.1959392
5,1237645879578263926,51075,51.0615118400887,1.27139816205397,0.20843499999999998,0.033363,0.9732101999999999,6.161314,20.80057,39.88715,56.59547,3.4172809999999996,17.029139999999998,5.645435,1.8849529999999999,0.1297346
6,1237645879579574894,51075,53.9933656057965,1.27102732271515,0.546446,0.048811,-0.126325,0.1963071,1.016222,3.042024,3.740436,6.7739210000000005,46.0163,15.40049,4.908422,0.3267505
7,1237645879579902011,51075,54.80461551610371,1.26965425489288,0.194447,0.06661900000000001,1.016026,6.48184,19.51944,29.245720000000002,48.493359999999996,5.678188,25.74764,8.607049,3.15124,0.21788670000000002
8,1237645879580492355,51075,56.203488351988106,1.27137513365507,0.439931,0.070725,0.5948681,0.7566288000000001,2.973464,4.427423,6.784508,11.163739999999999,60.22823,20.82883,7.017963000000001,0.45131859999999996
9,1237645879580558006,51075,56.32624677607679,1.27009957132822,0.49052399999999996,0.107037,0.03446926,0.4802166,1.776358,3.2700169999999997,6.021439,9.518945,53.170719999999996,18.405739999999998,5.937456,0.3656203
10,1237645941296398657,51078,60.5790481397535,-1.2085196039043602,0.322065,0.141941,-0.08301891,0.9123860999999999,2.418943,4.078180000000001,6.119465,13.82651,47.83421,20.26949,10.00119,0.7306948
11,1237645941296398659,51078,60.5809610600239,-1.09422020299623,0.179491,0.059186,0.8067814,4.533716,12.19974,19.02954,25.62679,7.402575,22.3636,9.743456,4.768705000000001,0.3885774
12,1237645941296398809,51078,60.5690368428644,-1.15586946707105,0.5026390000000001,0.086648,0.7421247,0.6468146,2.270276,3.758897,6.682691999999999,13.49519,53.03804,21.51298,10.52985,0.8008132
14,1237645941296463917,51078,60.6798837892107,-1.17548433807338,0.571865,0.055104999999999994,4.5476219999999996e-07,1.096998,4.454658,13.25201,16.4753,16.5189,51.489670000000004,21.43768,9.133539,0.7732849
16,1237645941296463970,51078,60.779809371820704,-1.06192851598683,0.5577880000000001,0.054571,-0.45823450000000004,0.0491265,0.46315779999999995,2.248845,3.500226,36.079240000000006,114.9832,53.3211,22.6261,1.765177
17,1237645941296464287,51078,60.770467542079004,-1.08080435995792,0.421828,0.089749,-0.28967350000000003,0.4104447,1.9025990000000002,3.541727,7.747721,7.1475789999999995,24.937379999999997,11.27828,5.184896,0.4022642
18,1237645941296464550,51078,60.723169085616,-1.1183528434525098,0.302019,0.058503999999999994,0.5321562,0.2457848,2.031959,3.2786129999999996,5.413768,16.06542,62.41919,26.87267,12.59205,0.9403289
19,1237645941296464599,51078,60.7661482816957,-1.1610942444846102,0.5262,0.07610499999999999,0.6858579,-0.04764839,1.36935,1.954968,4.910722,9.680359,34.355129999999996,15.49659,7.097904,0.5307741
20,1237645941296464614,51078,60.7738210724436,-1.12709807738243,0.438932,0.11752699999999999,0.15721020000000002,0.41781579999999996,1.164534,1.8601330000000003,4.287909,21.62752,74.31799000000001,34.84415,15.669179999999999,1.153071
21,1237645941296464625,51078,60.7792210498275,-1.11857777981807,0.262218,0.11891900000000001,0.5202884,0.30900520000000004,3.2962059999999997,3.793225,2.770901,1.98812,6.7467809999999995,3.040002,1.423816,0.10942139999999999
